lambda,u4_qmc_eta10,u4_ed_eta10,x2_qmc_eta10,x2_ed_eta10,u4_qmc_eta50,u4_ed_eta50,x2_qmc_eta50,x2_ed_eta50,u4_qmc_eta200,u4_ed_eta200,x2_qmc_eta200,x2_ed_eta200,u4_qmc_eta500,u4_ed_eta500,x2_qmc_eta500,x2_ed_eta500
0.200000,1.0399622117e-4,1.1975073316e-4,1.0118504798e0,1.0138980084e0,4.7267787122e-6,6.3361605132e-6,1.0024124633e0,1.0031066264e0,3.2968859753e-7,4.1870413925e-7,1.0006333804e0,1.0007940377e0,4.3961102092e-8,6.7752664146e-8,1.0002329653e0,1.0003190409e0
0.220000,2.0475988104e-4,1.7440503454e-4,1.0167750844e0,1.0168200702e0,6.3862237176e-6,9.2649241319e-6,1.0028146799e0,1.0037590542e0,3.6600822617e-7,6.1282138242e-7,1.0006751716e0,1.0009607862e0,6.2366705800e-8,9.9183412261e-8,1.0002778568e0,1.0003860395e0
0.240000,2.4825192550e-4,2.4559076034e-4,1.0184541511e0,1.0200218046e0,9.2481224012e-6,1.3103539153e-5,1.0033857121e0,1.0044736326e0,5.5681169653e-7,8.6762163709e-7,1.0008303180e0,1.0011434158e0,9.9576934365e-8,1.4045256946e-7,1.0003493451e0,1.0004594190e0
0.260000,4.5048761432e-4,3.3616281689e-4,1.0250991537e0,1.0235035857e0,1.2283900056e-5,1.8020929552e-5,1.0039099339e0,1.0052503653e0,8.2581873406e-7,1.1945582523e-6,1.0010081945e0,1.0013419265e0,1.0313489984e-7,1.9342338942e-7,1.0003599302e0,1.0005391793e0
0.280000,5.3518349924e-4,4.4912789488e-4,1.0274680630e0,1.0272658186e0,3.1724529057e-5,2.4199358205e-5,1.0064982341e0,1.0060892567e0,8.7654138703e-7,1.6060568727e-6,1.0010494262e0,1.0015563184e0,2.0594606276e-7,2.6011959842e-7,1.0005002371e0,1.0006253204e0
0.300000,6.6864925827e-4,5.8762329837e-4,1.0307564067e0,1.0313089396e0,3.5777901814e-5,3.1834099405e-5,1.0068980781e0,1.0069903114e0,1.4610021044e-6,2.1155095831e-6,1.0013415132e0,1.0017865915e0,3.0009400354e-7,3.4272501126e-7,1.0006015159e0,1.0007178424e0
0.320000,8.7854826529e-4,7.5489515792e-4,1.0354125283e0,1.0356334155e0,6.2697586911e-5,4.1133089166e-5,1.0091175060e0,1.0079535343e0,5.2110941748e-5,2.7372685869e-6,1.0077215928e0,1.0020327460e0,3.1682750679e-7,4.4358311091e-7,1.0006231414e0,1.0008167453e0
0.340000,9.1104259731e-5,9.5427622640e-4,1.0402198780e0,1.0402397437e0,6.3347700825e-5,5.2316554096e-5,1.0092303034e0,1.0089789307e0,2.2924265509e-6,3.4866394456e-6,1.0016845026e0,1.0022947819e0,3.6459854769e-7,5.6519660685e-7,1.0006713637e0,1.0009220290e0
0.360000,1.5931531800e-3,1.1891634545e-3,1.0482826434e0,1.0451284514e0,5.7393921323e-5,6.5616619831e-5,1.0086742164e0,1.0100665063e0,2.9640090078e-6,4.3798738733e-6,1.0019135302e0,1.0025726993e0,3.6747295462e-7,7.1022695747e-7,1.0006805579e0,1.0010336936e0
0.380000,1.6250355952e-3,1.4629955397e-3,1.0488168611e0,1.0503000954e0,6.8873734620e-5,8.1276899935e-5,1.0094728091e0,1.0112162669e0,3.7802228147e-6,5.4341620939e-6,1.0021590381e0,1.0028664984e0,5.5890308293e-7,8.8149386024e-7,1.0008319739e0,1.0011517390e0
0.400000,2.1162241592e-3,1.7792306359e-3,1.0560564873e0,1.0557552617e0,8.0957933870e-5,9.9552066288e-5,1.0102555262e0,1.0124282189e0,3.2279390825e-5,6.6676247689e-6,1.0063249117e0,1.0031761792e0,7.9817303866e-7,1.0819747170e-6,1.0009881117e0,1.0012761653e0
0.420000,2.6418123524e-3,2.1413244033e-3,1.0630491467e0,1.0614945649e0,1.0975595567e-4,1.2070740200e-4,1.0120317251e0,1.0137023688e0,5.9879769957e-6,8.0993044912e-6,1.0027119947e0,1.0035017418e0,8.0842058359e-7,1.3148040705e-6,1.0010020963e0,1.0014069726e0
0.440000,3.0190515553e-3,2.5527085685e-3,1.0676827009e0,1.0675186481e0,1.8129301895e-4,1.4501833789e-4,1.0155810783e0,1.0150387237e0,7.0577643587e-6,9.7491568619e-6,1.0029475684e0,1.0038431863e0,1.0208313684e-6,1.5832729986e-6,1.0011239277e0,1.0015441607e0
